iter	MultiClass
0	1.923178343
1	1.900924265
2	1.885248371
3	1.863820947
4	1.846715453
5	1.821597692
6	1.796702928
7	1.774511662
8	1.75567286
9	1.739710933
10	1.724993706
11	1.70621525
12	1.686495615
13	1.669494018
14	1.649370377
15	1.62730236
16	1.606705069
17	1.591085922
18	1.576495639
19	1.559963527
20	1.54729027
21	1.533023087
22	1.518321542
23	1.505163021
24	1.492355817
25	1.474608287
26	1.462435554
27	1.446825056
28	1.431340214
29	1.419205359
30	1.40436356
31	1.395410278
32	1.381629711
33	1.369392269
34	1.3594838
35	1.346315684
36	1.334729753
37	1.323986106
38	1.31274862
39	1.302527628
40	1.28803144
41	1.277615774
42	1.26512762
43	1.251902143
44	1.24159294
45	1.230801468
46	1.218845094
47	1.208559212
48	1.199625865
49	1.192826451
50	1.185978649
51	1.178085013
52	1.166543436
53	1.156590241
54	1.148384844
55	1.139007969
56	1.13025766
57	1.120740987
58	1.112039648
59	1.104167729
60	1.097308591
61	1.088846515
62	1.080627085
63	1.074987388
64	1.067403949
65	1.05973832
66	1.051307128
67	1.043682645
68	1.036514739
69	1.027768818
70	1.019523805
71	1.011706579
72	1.004664519
73	0.9978451204
74	0.9908817558
75	0.9836773387
76	0.9756047473
77	0.9682090004
78	0.9623893607
79	0.9560035148
80	0.9490268083
81	0.9413864896
82	0.9345399594
83	0.9272519988
84	0.9197670429
85	0.9129090023
86	0.9059619655
87	0.8991440875
88	0.893538482
89	0.8863411279
90	0.8811887369
91	0.8742453574
92	0.8691269187
93	0.8623864905
94	0.8556429051
95	0.8495934923
96	0.8442206863
97	0.8381953137
98	0.8335431983
99	0.827457476
100	0.8218861696
101	0.815778462
102	0.8099118518
103	0.8051551375
104	0.7998532111
105	0.7943315045
106	0.7891490265
107	0.7834815422
108	0.7775966299
109	0.7731554131
110	0.7679784229
111	0.7633419303
112	0.7583528376
113	0.7534494306
114	0.7492346451
115	0.7443305399
116	0.7403238559
117	0.7351779569
118	0.7302676317
119	0.7257012501
120	0.7206897924
121	0.7157600152
122	0.7107942748
123	0.7065965128
124	0.7024663877
125	0.6979526413
126	0.6930982431
127	0.6890362648
128	0.6850526478
129	0.6804083219
130	0.6757772692
131	0.6710178362
132	0.6663792697
133	0.6621006444
134	0.6571421932
135	0.6530689181
136	0.6488691389
137	0.6444856646
138	0.6401904377
139	0.6365925023
140	0.6328029655
141	0.6290778544
142	0.624828335
143	0.6212594644
144	0.6173501357
145	0.6131398459
146	0.6094866956
147	0.6057396715
148	0.6019234985
149	0.5984659998
150	0.5947249492
151	0.5918030378
152	0.5885434179
153	0.5852203966
154	0.5818633674
155	0.5787754934
156	0.5750182567
157	0.5716688785
158	0.5680760766
159	0.5652542432
160	0.5618691648
161	0.5582717938
162	0.5551595064
163	0.5522637555
164	0.5487835478
165	0.5460557764
166	0.542904428
167	0.5395519197
168	0.5363447773
169	0.5328208116
170	0.5294904873
171	0.526602836
172	0.5241686598
173	0.5216388274
174	0.5185942711
175	0.5155386134
176	0.5125397118
177	0.5093182522
178	0.5066839348
179	0.5037370179
180	0.5008187903
181	0.4980249825
182	0.4960033155
183	0.4929235065
184	0.4895069448
185	0.4865977415
186	0.483901236
187	0.4815140017
188	0.4789719104
189	0.4762799878
190	0.473650856
191	0.4715430693
192	0.4687356209
