iter	Passed	Remaining
0	497	397198
1	585	233468
2	664	176579
3	734	146189
4	821	130693
5	894	118435
6	961	108868
7	1024	101451
8	1099	96636
9	1166	92118
10	1235	88631
11	1303	85573
12	1368	82857
13	1438	80746
14	1503	78662
15	1567	76814
16	1636	75359
17	1704	74037
18	1770	72787
19	1836	71639
20	1905	70681
21	1971	69736
22	2040	68935
23	2108	68189
24	2175	67434
25	2240	66686
26	2306	66041
27	2373	65451
28	2442	64945
29	2508	64387
30	2574	63853
31	2644	63472
32	2714	63083
33	2798	63040
34	2864	62608
35	2935	62295
36	3003	61939
37	3071	61588
38	3138	61233
39	3203	60870
40	3268	60505
41	3335	60196
42	3399	59847
43	3465	59535
44	3530	59239
45	3599	58997
46	3667	58750
47	3733	58495
48	3800	58253
49	3869	58038
50	3935	57802
51	4003	57586
52	4067	57330
53	4138	57178
54	4212	57056
55	4279	56857
56	4346	56656
57	4413	56462
58	4479	56261
59	4546	56069
60	4615	55920
61	4684	55762
62	4749	55556
63	4816	55390
64	4887	55264
65	4952	55075
66	5025	54984
67	5109	55000
68	5174	54822
69	5237	54621
70	5302	54447
71	5391	54516
72	5492	54701
73	5576	54707
74	5660	54718
75	5728	54568
76	5789	54358
77	5854	54192
78	5915	53987
79	5979	53818
80	6042	53633
81	6108	53487
82	6173	53332
83	6237	53170
84	6318	53149
85	6384	53002
86	6445	52824
87	6508	52659
88	6572	52504
89	6639	52375
90	6711	52292
91	6783	52205
92	6858	52137
93	6928	52038
94	7001	51957
95	7068	51834
96	7138	51734
97	7210	51648
98	7284	51577
99	7365	51555
100	7435	51457
101	7500	51323
102	7565	51196
103	7638	51117
104	7717	51082
105	7789	51000
106	7861	50914
107	7929	50810
108	8001	50722
109	8074	50650
110	8144	50554
111	8210	50433
112	8277	50322
113	8343	50206
114	8412	50110
115	8482	50018
116	8552	49926
117	8617	49805
118	8684	49700
119	8752	49596
120	8821	49504
121	8918	49564
122	8982	49441
123	9057	49376
124	9125	49280
125	9193	49176
126	9259	49069
127	9328	48972
128	9396	48874
129	9467	48794
130	9531	48677
131	9594	48555
